"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Elxion E-waste Recycling","4.7","17","","Recycling center No 24 23rd A Main RdClosed ⋅ Opens 9 am","080 2658 9066","http://www.elxion.in/","https://www.google.com/maps/place/Elxion+E-waste+Recycling/data=!4m7!3m6!1s0x3bae152e177eb0c9:0x98a5c14c39601d0c!8m2!3d12.9147607!4d77.5863386!16s%2Fg%2F11gfjrwtw0!19sChIJybB-Fy4VrjsRDB1gOUzBpZg?authuser=0&hl=en&rclk=1"
"Prakruthi Recycling Pvt. Ltd","4.8","38","800 102 8286","Recycling center 511","60 Feet Road","https://prakruthirecycling.com/","https://www.google.com/maps/place/Prakruthi+Recycling+Pvt.+Ltd/data=!4m7!3m6!1s0x3bae3df6b872ae6b:0xdc778588b1097b6d!8m2!3d12.9785751!4d77.4979171!16s%2Fg%2F11b8tgfhbl!19sChIJa65yuPY9rjsRbXsJsYiFd9w?authuser=0&hl=en&rclk=1"
"SHRIRAJ COMPUTERS","4.9","62","077450 7598","Computer store SHOP NO1 SARVESH APPARTMENT Ambad CIDCO Link Rd behind Pawan Nagar PlaygroundClosed ⋅ Opens 10:15 am","077450 75986","https://shrirajtechnology.com/","https://www.google.com/maps/place/SHRIRAJ+COMPUTERS/data=!4m7!3m6!1s0x3bdded722ce8b9c5:0xbbf7034cb8f2bdb8!8m2!3d19.9732433!4d73.7547783!16s%2Fg%2F11kl7w4w_l!19sChIJxbnoLHLt3TsRuL3yuEwD97s?authuser=0&hl=en&rclk=1"
"Ewaste Recycler in Bangalore - Virogreen India","5.0","1","","","","","https://www.google.com/maps/place/Ewaste+Recycler+in+Bangalore+-+Virogreen+India/data=!4m7!3m6!1s0x3bae15c92a29e95f:0xfa759d949b3cfcfc!8m2!3d12.9058284!4d77.5884107!16s%2Fg%2F11h4cn4fl6!19sChIJX-kpKskVrjsR_Pw8m5Sddfo?authuser=0&hl=en&rclk=1"
"E- Parisaraa Private Limited","4.6","99","","Recycling center No B 41/1Closed ⋅ Opens 9 am","080 2836 0902","http://ewasteindia.com/","https://www.google.com/maps/place/E-+Parisaraa+Private+Limited/data=!4m7!3m6!1s0x3bae3d1dc5555555:0x1af5a9077298071f!8m2!3d13.0180102!4d77.501051!16s%2Fg%2F1tdh29lk!19sChIJVVVVxR09rjsRHweYcgep9Ro?authuser=0&hl=en&rclk=1"
"E waste Disposal in Bangalore /Scrap Battery Buyers Near me /E waste buyers in Bangalore","4.5","4","","Junkyard Patandur agrahara main roadITPL Back gate","4 Near ITPL 4th Gate back Said","https://wastematerial.in/","https://www.google.com/maps/place/E+waste+Disposal+in+Bangalore+%2FScrap+Battery+Buyers+Near+me+%2FE+waste+buyers+in+Bangalore/data=!4m7!3m6!1s0x3bae117245809a33:0xa57762130eaf2a2b!8m2!3d12.9820317!4d77.7337014!16s%2Fg%2F11sgqsb7x2!19sChIJM5qARXIRrjsRKyqvDhNid6U?authuser=0&hl=en&rclk=1"
"Eco Ewaste Recyclers India Private Limited","5.0","1","098867 7786","Recycling center Muttacharry Industrial Estate Hanumantappa Layout Mysore Rd Bangalore - 560039Closed ⋅ Opens 9 am","098867 77865","http://ecoewaste.com/","https://www.google.com/maps/place/Eco+Ewaste+Recyclers+India+Private+Limited/data=!4m7!3m6!1s0x3bae15a1713bd6dd:0xcd705e3cebe808a4!8m2!3d12.9263786!4d77.5880561!16s%2Fg%2F11byflhc0h!19sChIJ3dY7caEVrjsRpAjo6zxecM0?authuser=0&hl=en&rclk=1"
"K. H. E Waste Recycler","4.5","6","086602 1442","Recycling center 104 1st Main 4th Cross Azziz sait Industrial Area Nayandahalli BangaloreClosed ⋅ Opens 10 am","086602 14424","","https://www.google.com/maps/place/K.+H.+E+Waste+Recycler/data=!4m7!3m6!1s0x3bae3e5d7fc01c59:0xf53b2e74b720ea5b!8m2!3d12.941145!4d77.52477!16s%2Fg%2F11c425zyb9!19sChIJWRzAf10-rjsRW-ogt3QuO_U?authuser=0&hl=en&rclk=1"
"E Waste Social Pvt Ltd","","","097411 1178","","097411 11786","https://ewastesocial.com/","https://www.google.com/maps/place/E+Waste+Social+Pvt+Ltd/data=!4m7!3m6!1s0x3bae17dfbe36ce17:0x39001aa31d49b353!8m2!3d13.00454!4d77.6171611!16s%2Fg%2F11vqly2qzf!19sChIJF842vt8XrjsRU7NJHaMaADk?authuser=0&hl=en&rclk=1"
"E-FRIENDLY WASTE RECYCLERS","5.0","9","097400 5777","Recycling center 1st Main RdClosed ⋅ Opens 10 am","097400 57778","https://www.efriendly.co.in/","https://www.google.com/maps/place/E-FRIENDLY+WASTE+RECYCLERS/data=!4m7!3m6!1s0x3bae3e66691bb211:0xaeceb9e4d5e795ba!8m2!3d12.9457411!4d77.5256078!16s%2Fg%2F11b7lp68pg!19sChIJEbIbaWY-rjsRupXn1eS5zq4?authuser=0&hl=en&rclk=1"
"E Waste Social Pvt Ltd","","","097411 1178","","097411 11786","https://ewastesocial.com/","https://www.google.com/maps/place/E+Waste+Social+Pvt+Ltd/data=!4m7!3m6!1s0x3bae17dfbe36ce17:0x39001aa31d49b353!8m2!3d13.00454!4d77.6171611!16s%2Fg%2F11vqly2qzf!19sChIJF842vt8XrjsRU7NJHaMaADk?authuser=0&hl=en&rclk=1"
"E2E RECYCLING BUSINESS PVT. LTD.","5.0","58","800 572 6069","Recycling center No550Sompura2nd stage Industrial AreaSY No102 Thyamagondlu HobliDabaspetClosed ⋅ Opens 9 am","1800 572 6069","http://www.e2erecycling.com/","https://www.google.com/maps/place/E2E+RECYCLING+BUSINESS+PVT.+LTD./data=!4m7!3m6!1s0x3bb1d5a0c8e3d743:0x6563c28612aee007!8m2!3d13.2241542!4d77.2495508!16s%2Fg%2F11f6gj3zww!19sChIJQ9fjyKDVsTsRB-CuEobCY2U?authuser=0&hl=en&rclk=1"
"Hi Tech eWaste","","","","","","","https://www.google.com/maps/place/Hi+Tech+eWaste/data=!4m7!3m6!1s0x3bae160a10d7c1a5:0x683a37cfea05f663!8m2!3d12.9675129!4d77.5800266!16s%2Fg%2F11pz00_xzv!19sChIJpcHXEAoWrjsRY_YF6s83Omg?authuser=0&hl=en&rclk=1"
"Rashi E-Waste","4.5","14","","Recycling center 7H86+C2G","080 2760 0077","http://www.rashiewaste.com/","https://www.google.com/maps/place/Rashi+E-Waste/data=!4m7!3m6!1s0x3bb1dfd8c9c75e4d:0x2a13059904aaab16!8m2!3d13.266065!4d77.5600759!16s%2Fg%2F11c1329mxh!19sChIJTV7HydjfsTsRFquqBJkFEyo?authuser=0&hl=en&rclk=1"
"Aptus Recycling Pvt Ltd","5.0","5","088844 5146","Recycling center 442 4 6th Main RdClosed ⋅ Opens 9:30 am","088844 51461","http://www.aptusrecycling.com/","https://www.google.com/maps/place/Aptus+Recycling+Pvt+Ltd/data=!4m7!3m6!1s0x3baf05dbf89b9517:0x72efec2b9a676019!8m2!3d13.0261279!4d77.5593684!16s%2Fg%2F11g7_df9mn!19sChIJF5Wb-NsFrzsRGWBnmivs73I?authuser=0&hl=en&rclk=1"
"INFRO E-Wave | E-Waste Solutions | Data Sanitization","5.0","13","099026 7369","Waste management service Anisha Homes No-G1 Ground Floor 1st C Cross KaggadasapuraClosed ⋅ Opens 9 am","099026 73693","https://infroewave.com/","https://www.google.com/maps/place/INFRO+E-Wave+%7C+E-Waste+Solutions+%7C+Data+Sanitization/data=!4m7!3m6!1s0x6b93cc6f4ee2bb13:0xb5fe2163ebdc0177!8m2!3d12.983916!4d77.6709825!16s%2Fg%2F11lcrkzx1c!19sChIJE7viTm_Mk2sRdwHc62Mh_rU?authuser=0&hl=en&rclk=1"
"i7 EWaste Recyclers","5.0","4","073373 4515","","7 EWaste Recyclers 5","https://www.i7ewasterecyclers.com/","https://www.google.com/maps/place/i7+EWaste+Recyclers/data=!4m7!3m6!1s0x3bae3b7c577e2427:0x57c52510b3e5b780!8m2!3d13.0064075!4d77.4682469!16s%2Fg%2F11h7tbgk3j!19sChIJJyR-V3w7rjsRgLflsxAlxVc?authuser=0&hl=en&rclk=1"
"Supreme Technologies | E Waste Buyers In Bangalore","3.6","13","094483 1154","Waste management service 41 7th Cross RdOpen","","https://ewaste-buyers.business.site/","https://www.google.com/maps/place/Supreme+Technologies+%7C+E+Waste+Buyers+In+Bangalore/data=!4m7!3m6!1s0x3bae181bf26db179:0x62f13feafd47d94e!8m2!3d13.0449144!4d77.5501758!16s%2Fg%2F11g6njcw3q!19sChIJebFt8hsYrjsRTtlH_eo_8WI?authuser=0&hl=en&rclk=1"
"Scrap Pickup","4.9","151","063666 7466","Kabadiwala & Scrap Merchant 3Open","","http://www.scrappickup.in/","https://www.google.com/maps/place/Scrap+Pickup/data=!4m7!3m6!1s0x3bae177d10ed9257:0xdd236f1400b78ff5!8m2!3d13.0355921!4d77.5986601!16s%2Fg%2F11fqd4c0zf!19sChIJV5LtEH0XrjsR9Y-3ABRvI90?authuser=0&hl=en&rclk=1"
"Ezone recycling (Doorstep pickup)","4.8","36","063666 4414","Kabadiwala & Scrap MerchantOpen","","http://www.vipezone.com/","https://www.google.com/maps/place/Ezone+recycling+%28Doorstep+pickup%29/data=!4m7!3m6!1s0x3bae17f519348c41:0x25db3c13a8aeb442!8m2!3d12.9366114!4d77.6846406!16s%2Fg%2F11j1bgfcdm!19sChIJQYw0GfUXrjsRQrSuqBM82yU?authuser=0&hl=en&rclk=1"
"ECO BIRDD RECYCLING COMPANY PVT LTD","4.5","12","099450 0882","Recycling center No1851st Cross 1st Main Azeez Sait Industrial Estate NayandahalliClosed ⋅ Opens 10 am","099450 08827","https://www.ewasterecyclersindia.com/","https://www.google.com/maps/place/ECO+BIRDD+RECYCLING+COMPANY+PVT+LTD/data=!4m7!3m6!1s0x3bae3e630c3b4fd3:0xdcd1fc259d2ed80c!8m2!3d12.948966!4d77.5256898!16s%2Fg%2F11g9dkz24p!19sChIJ0087DGM-rjsRDNgunSX80dw?authuser=0&hl=en&rclk=1"
"Mkk E-waste Enterprises","","","099807 8299","","3 Ground Floor","https://kingmkk.com/","https://www.google.com/maps/place/Mkk+E-waste+Enterprises/data=!4m7!3m6!1s0x3bae17b4099d5f69:0x414456329d84255a!8m2!3d13.0018232!4d77.5948548!16s%2Fg%2F11sfjmwdzq!19sChIJaV-dCbQXrjsRWiWEnTJWREE?authuser=0&hl=en&rclk=1"
"Techchef Ewaste Solutions Pvt Ltd","","","099102 8822","","099102 88223","https://techchefewaste.in/","https://www.google.com/maps/place/Techchef+Ewaste+Solutions+Pvt+Ltd/data=!4m7!3m6!1s0x3bae17e0a2f4ac53:0x3711619016f1d9e7!8m2!3d12.9747392!4d77.6147006!16s%2Fg%2F11rx2pd73y!19sChIJU6z0ouAXrjsR59nxFpBhETc?authuser=0&hl=en&rclk=1"
"E-PLANT RECYCLING","3.0","2","097396 9865","Waste management service No95 5th Main Telecom LayoutOpen","","http://e-plantrecycling.com/","https://www.google.com/maps/place/E-PLANT+RECYCLING/data=!4m7!3m6!1s0x3bae198811143253:0xa06ed3540a421017!8m2!3d13.0693451!4d77.6170393!16s%2Fg%2F11k719ykg2!19sChIJUzIUEYgZrjsRFxBCClTTbqA?authuser=0&hl=en&rclk=1"
